ID,Input File,Run Number,Mutations Rate (%),Number of Mutations,Perfect Retrieval(0/1)
20230814162642,bible_en_text_no_hamming.txt,1,1e-06,17,0
20230814162642,bible_en_text_no_hamming.txt,2,1e-06,17,0
20230814162642,bible_en_text_no_hamming.txt,3,1e-06,17,0
20230814162642,bible_en_text_no_hamming.txt,4,1e-06,17,0
20230814162642,bible_en_text_no_hamming.txt,5,1e-06,17,0
20230814162642,bible_en_text_no_hamming.txt,6,1e-06,17,0
20230814162642,bible_en_text_no_hamming.txt,7,1e-06,17,0
20230814162642,bible_en_text_no_hamming.txt,8,1e-06,17,0
20230814162642,bible_en_text_no_hamming.txt,9,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,1,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,2,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,3,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,4,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,5,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,6,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,7,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,8,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,9,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,10,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,11,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,12,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,13,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,14,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,15,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,16,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,17,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,18,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,19,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,20,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,21,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,22,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,23,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,24,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,25,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,26,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,27,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,28,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,29,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,30,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,31,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,32,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,33,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,34,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,35,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,36,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,37,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,38,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,39,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,40,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,41,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,42,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,43,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,44,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,45,1e-06,17,0
20230814162739,bible_en_text_no_hamming.txt,46,1e-06,17,0
