ID,Input File,Run Number,Mutations Rate (%),Number of Mutations,Corrected Errors,Perfect Retrieval(0/1)
20230813181255,random100_encoded_text.txt,1,0.01,85,44,0
20230813181255,random100_encoded_text.txt,2,0.01,85,49,1
20230813181255,random100_encoded_text.txt,3,0.01,85,51,0
20230813181255,random100_encoded_text.txt,4,0.01,85,45,1
20230813181255,random100_encoded_text.txt,5,0.01,85,50,0
20230813181255,random100_encoded_text.txt,6,0.01,85,50,0
20230813181255,random100_encoded_text.txt,7,0.01,85,49,0
20230813181255,random100_encoded_text.txt,8,0.01,85,44,0
20230813181255,random100_encoded_text.txt,9,0.01,85,45,0
20230813181255,random100_encoded_text.txt,10,0.01,85,40,1
20230813181255,random100_encoded_text.txt,11,0.01,85,44,1
20230813181255,random100_encoded_text.txt,12,0.01,85,44,0
20230813181255,random100_encoded_text.txt,13,0.01,85,50,0
20230813181255,random100_encoded_text.txt,14,0.01,85,41,0
20230813181255,random100_encoded_text.txt,15,0.01,85,45,0
20230813181255,random100_encoded_text.txt,16,0.01,85,56,1
20230813181255,random100_encoded_text.txt,17,0.01,85,49,0
20230813181255,random100_encoded_text.txt,18,0.01,85,39,0
20230813181255,random100_encoded_text.txt,19,0.01,85,49,0
20230813181255,random100_encoded_text.txt,20,0.01,85,48,1
20230813181255,random100_encoded_text.txt,21,0.01,85,40,0
20230813181255,random100_encoded_text.txt,22,0.01,85,39,1
20230813181255,random100_encoded_text.txt,23,0.01,85,47,0
20230813181255,random100_encoded_text.txt,24,0.01,85,42,0
20230813181255,random100_encoded_text.txt,25,0.01,85,54,0
20230813181255,random100_encoded_text.txt,26,0.01,85,53,0
20230813181255,random100_encoded_text.txt,27,0.01,85,47,1
20230813181255,random100_encoded_text.txt,28,0.01,85,42,0
20230813181255,random100_encoded_text.txt,29,0.01,85,47,0
20230813181255,random100_encoded_text.txt,30,0.01,85,43,1
20230813181255,random100_encoded_text.txt,31,0.01,85,57,1
20230813181255,random100_encoded_text.txt,32,0.01,85,53,1
20230813181255,random100_encoded_text.txt,33,0.01,85,48,0
20230813181255,random100_encoded_text.txt,34,0.01,85,45,0
20230813181255,random100_encoded_text.txt,35,0.01,85,41,0
20230813181255,random100_encoded_text.txt,36,0.01,85,45,0
20230813181255,random100_encoded_text.txt,37,0.01,85,41,0
20230813181255,random100_encoded_text.txt,38,0.01,85,48,0
20230813181255,random100_encoded_text.txt,39,0.01,85,57,0
20230813181255,random100_encoded_text.txt,40,0.01,85,52,1
20230813181255,random100_encoded_text.txt,41,0.01,85,40,1
20230813181255,random100_encoded_text.txt,42,0.01,85,50,0
20230813181255,random100_encoded_text.txt,43,0.01,85,47,0
20230813181255,random100_encoded_text.txt,44,0.01,85,46,1
20230813181255,random100_encoded_text.txt,45,0.01,85,38,0
20230813181255,random100_encoded_text.txt,46,0.01,85,42,0
20230813181255,random100_encoded_text.txt,47,0.01,85,51,1
20230813181255,random100_encoded_text.txt,48,0.01,85,48,0
20230813181255,random100_encoded_text.txt,49,0.01,85,46,0
20230813181255,random100_encoded_text.txt,50,0.01,85,45,0
20230813181255,random100_encoded_text.txt,51,0.01,85,47,0
20230813181255,random100_encoded_text.txt,52,0.01,85,50,1
20230813181255,random100_encoded_text.txt,53,0.01,85,52,1
20230813181255,random100_encoded_text.txt,54,0.01,85,46,0
20230813181255,random100_encoded_text.txt,55,0.01,85,44,1
20230813181255,random100_encoded_text.txt,56,0.01,85,48,0
20230813181255,random100_encoded_text.txt,57,0.01,85,47,0
20230813181255,random100_encoded_text.txt,58,0.01,85,45,0
20230813181255,random100_encoded_text.txt,59,0.01,85,47,0
20230813181255,random100_encoded_text.txt,60,0.01,85,49,1
20230813181255,random100_encoded_text.txt,61,0.01,85,48,0
20230813181255,random100_encoded_text.txt,62,0.01,85,51,0
20230813181255,random100_encoded_text.txt,63,0.01,85,48,0
20230813181255,random100_encoded_text.txt,64,0.01,85,40,1
20230813181255,random100_encoded_text.txt,65,0.01,85,46,0
20230813181255,random100_encoded_text.txt,66,0.01,85,52,0
20230813181255,random100_encoded_text.txt,67,0.01,85,49,0
20230813181255,random100_encoded_text.txt,68,0.01,85,48,0
20230813181255,random100_encoded_text.txt,69,0.01,85,48,1
20230813181255,random100_encoded_text.txt,70,0.01,85,55,1
20230813181255,random100_encoded_text.txt,71,0.01,85,44,1
20230813181255,random100_encoded_text.txt,72,0.01,85,45,0
20230813181255,random100_encoded_text.txt,73,0.01,85,45,0
20230813181255,random100_encoded_text.txt,74,0.01,85,49,1
20230813181255,random100_encoded_text.txt,75,0.01,85,48,1
20230813181255,random100_encoded_text.txt,76,0.01,85,49,0
20230813181255,random100_encoded_text.txt,77,0.01,85,43,0
20230813181255,random100_encoded_text.txt,78,0.01,85,51,0
20230813181255,random100_encoded_text.txt,79,0.01,85,51,1
20230813181255,random100_encoded_text.txt,80,0.01,85,51,0
20230813181255,random100_encoded_text.txt,81,0.01,85,37,0
20230813181255,random100_encoded_text.txt,82,0.01,85,43,1
20230813181255,random100_encoded_text.txt,83,0.01,85,51,0
20230813181255,random100_encoded_text.txt,84,0.01,85,40,0
20230813181255,random100_encoded_text.txt,85,0.01,85,50,0
20230813181255,random100_encoded_text.txt,86,0.01,85,43,1
20230813181255,random100_encoded_text.txt,87,0.01,85,44,0
20230813181255,random100_encoded_text.txt,88,0.01,85,41,0
20230813181255,random100_encoded_text.txt,89,0.01,85,43,0
20230813181255,random100_encoded_text.txt,90,0.01,85,43,1
20230813181255,random100_encoded_text.txt,91,0.01,85,46,0
20230813181255,random100_encoded_text.txt,92,0.01,85,44,0
20230813181255,random100_encoded_text.txt,93,0.01,85,58,0
20230813181255,random100_encoded_text.txt,94,0.01,85,55,0
20230813181255,random100_encoded_text.txt,95,0.01,85,48,1
20230813181255,random100_encoded_text.txt,96,0.01,85,52,1
20230813181255,random100_encoded_text.txt,97,0.01,85,54,0
20230813181255,random100_encoded_text.txt,98,0.01,85,45,1
20230813181255,random100_encoded_text.txt,99,0.01,85,54,1
20230813181255,random100_encoded_text.txt,100,0.01,85,52,0
20230813181255,random100_encoded_text.txt,1,0.005,42,22,0
20230813181255,random100_encoded_text.txt,2,0.005,42,23,0
20230813181255,random100_encoded_text.txt,3,0.005,42,22,0
20230813181255,random100_encoded_text.txt,4,0.005,42,23,1
20230813181255,random100_encoded_text.txt,5,0.005,42,31,1
20230813181255,random100_encoded_text.txt,6,0.005,42,27,1
20230813181255,random100_encoded_text.txt,7,0.005,42,24,1
20230813181255,random100_encoded_text.txt,8,0.005,42,23,1
20230813181255,random100_encoded_text.txt,9,0.005,42,25,1
20230813181255,random100_encoded_text.txt,10,0.005,42,23,0
20230813181255,random100_encoded_text.txt,11,0.005,42,24,1
20230813181255,random100_encoded_text.txt,12,0.005,42,23,1
20230813181255,random100_encoded_text.txt,13,0.005,42,20,1
20230813181255,random100_encoded_text.txt,14,0.005,42,26,1
20230813181255,random100_encoded_text.txt,15,0.005,42,28,0
20230813181255,random100_encoded_text.txt,16,0.005,42,23,1
20230813181255,random100_encoded_text.txt,17,0.005,42,28,0
20230813181255,random100_encoded_text.txt,18,0.005,42,25,0
20230813181255,random100_encoded_text.txt,19,0.005,42,17,1
