Mutations Rate (%),random100,random300,random500,random700,random1000,random3000,random5000,random7000,random9000,random10000,random30000,random50000,random70000,random100000,random300000,random500000,random700000,random900000,random1000000
0.01,33,20,13,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,70,61,51,48,49,18,10,6.060606061,0,2,0,0,0,0,0,0,0,0,0
0.001,97,95,99,95,94,97,90,85,91,87,65,51,37,23,1,0,0,0,0
0.0005,100,100,100,99,100,97,98,97,96,96,100,80,77,61,35,12,8,3,3
0.0001,100,100,100,100,100,100,100,100,100,100,100,100,99,98,92,95,89,85,86
5.00E-05,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,98,92,95
1.00E-05,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5.00E-06,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1.00E-06,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5.00E-07,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1.00E-07,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100
